gene	S16FT	S16P	S17FT	S17P	S18FT	S18P	S19FT	S19P	S20FT	S20P	S21FT	S21P	S22FT	S22P	S23FT	S23P
ENSG00000089847.12	188	48	286	12	87	16	290	145	119	35	27	54	40	57	75	153
ENSG00000089876.11	297	1104	795	614	680	619	547	506	585	1363	600	1176	661	1213	835	665
ENSG00000089902.9	212	1243	1080	1521	1315	1464	561	474	852	1355	1141	1199	734	1404	1241	534
ENSG00000089916.17	237	1147	858	497	1316	977	692	601	832	659	1419	954	1086	1748	851	380
ENSG00000090006.17	3772	2864	9462	169	6987	697	7813	859	13087	2177	15875	2349	7160	928	5001	4190
ENSG00000090013.9	892	758	1699	1128	486	352	1601	461	1112	746	985	468	939	295	628	1520
ENSG00000090020.10	328	1209	1008	1179	642	867	699	754	902	838	870	1031	625	514	711	968
ENSG00000090054.13	92	1345	843	328	1513	881	247	142	1055	1598	1060	1557	1104	1703	1478	380
ENSG00000090060.17	1063	9698	4130	5556	5245	4501	2952	2211	3898	5475	4725	4234	4099	5338	4627	2162
ENSG00000090061.17	369	1056	1093	1587	1089	1327	832	694	1104	1063	769	1037	867	1055	1038	885
ENSG00000090097.20	520	1433	1705	933	754	1120	1622	2978	1198	646	1140	837	1127	493	790	2567
ENSG00000090104.11	24	101	1088	1073	931	792	400	54	650	1459	113	2252	1568	2330	1693	960
ENSG00000090238.11	1909	1198	1819	1899	1240	832	2743	2896	1650	2152	1588	1425	1010	1557	1193	1527
ENSG00000090263.15	673	718	700	1935	700	1445	1046	1081	595	695	626	832	505	1157	658	832
ENSG00000090266.12	2251	1045	1920	4841	960	2982	2946	6164	1086	1009	1153	969	885	941	990	2843
ENSG00000090273.13	6261	2375	3571	2036	2649	5557	6305	7090	2745	1736	2162	3015	1923	2056	3996	3014
ENSG00000090316.15	743	2986	2057	1489	1347	2261	1738	1592	1510	1333	1411	1882	1106	1702	1836	1634
ENSG00000090339.8	132	431	859	2749	1071	2398	715	189	4019	497	471	968	1909	346	1394	7882
ENSG00000090372.14	647	2130	1949	788	1359	1709	1755	1568	1876	887	1766	1950	1497	1659	1565	1771
ENSG00000090376.9	48	475	320	184	549	231	298	353	553	181	653	270	930	198	284	88
ENSG00000090382.6	295	1061	2313	646	2153	2555	2341	456	4322	340	767	1300	1910	311	1223	421
ENSG00000090402.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000090432.6	463	1095	1124	636	675	1452	1059	952	1021	776	913	717	618	501	752	1118
ENSG00000090447.11	188	299	480	572	306	748	332	316	282	531	214	491	122	440	343	177
ENSG00000090470.14	164	561	823	681	687	686	552	286	705	735	1042	641	757	862	687	542
ENSG00000090487.10	865	1624	2469	3661	2123	2259	2185	1522	1803	1641	2132	1864	1211	2276	1966	1745
ENSG00000090512.11	0	2	0	0	0	0	1	0	0	1	1	4	9	2	1	2
ENSG00000090520.11	307	741	941	1739	786	1472	758	1285	621	627	618	681	765	870	806	725
ENSG00000090530.9	187	2431	656	194	359	160	758	949	637	1316	665	1663	762	551	300	457
ENSG00000090534.17	19	85	58	0	24	1	28	37	58	21	38	16	36	10	21	48
ENSG00000090539.15	180	1931	1270	10	491	23	857	566	1157	264	865	405	1048	82	396	274
ENSG00000090554.12	20	14	26	6	20	7	25	40	21	11	13	6	17	6	21	4
ENSG00000090565.15	526	1921	1928	926	1189	970	1533	781	1755	893	2050	1232	1479	1131	1255	2210
ENSG00000090581.9	1008	1473	2191	2943	1042	1167	2084	982	1420	909	1390	1343	1025	1280	1284	2214
ENSG00000090612.20	312	809	705	477	760	663	570	575	618	623	645	606	580	774	622	484
ENSG00000090615.13	1203	2517	2535	2132	1619	1808	2573	2905	2053	1446	2675	1722	1814	1492	1494	2339
ENSG00000090621.13	895	3921	4119	6156	3183	4378	2444	1413	3527	4711	2975	5128	3762	6971	3159	2217
ENSG00000090659.17	45	459	554	57	223	61	377	166	138	42	377	229	1796	79	21	21
ENSG00000090661.11	889	952	1116	179	541	800	1458	9060	805	541	519	467	464	406	746	1279
ENSG00000090674.15	144	347	576	278	371	888	415	510	425	329	487	317	489	307	320	537
ENSG00000090686.15	696	3406	1667	887	2020	2126	1245	1493	1775	2129	1791	1947	1795	2156	1565	1162
ENSG00000090776.5	952	628	1449	347	932	814	1383	703	790	333	629	1533	423	1419	1368	1666
ENSG00000090857.13	714	2796	1356	745	2932	1360	1360	741	2514	2603	4224	3307	1575	1490	1827	991
ENSG00000090861.15	1154	2603	3559	9612	2321	2810	2958	2491	2656	4124	3149	2366	2522	1873	2793	3138
ENSG00000090863.11	2897	6453	5694	4298	5375	2247	5006	2771	6378	4229	8478	5961	5493	4731	4863	5185
ENSG00000090889.11	30	62	54	498	357	1276	166	747	24	61	87	352	25	60	241	39
