gene	S16FT	S16P	S17FT	S17P	S18FT	S18P	S19FT	S19P	S20FT	S20P	S21FT	S21P	S22FT	S22P	S23FT	S23P
ENSG00000007047.14	214	1187	766	257	498	486	687	600	743	481	782	701	691	732	552	741
ENSG00000007062.11	475	12580	197	111	593	424	493	1020	70	799	7	943	22	13	1112	4
ENSG00000007080.10	1205	541	1174	1637	369	964	1570	2716	697	370	635	537	559	477	583	1227
ENSG00000007129.17	55	29	42	18	44	18	89	23	26	17	13	15	41	16	30	29
ENSG00000007168.12	1120	3257	3669	1273	4509	1622	3211	1792	4141	2102	6477	3811	4662	4024	3402	2913
ENSG00000007171.16	2	38	36	1	30	2	12	16	60	21	16	15	14	0	15	4
ENSG00000007174.17	1266	214	803	1	3468	37	1336	12	230	78	61	1688	40	309	6025	40
ENSG00000007202.14	1177	4335	3738	4663	4070	3053	3112	3785	2744	3741	3840	4223	3844	5433	4568	3341
ENSG00000007216.14	4	2	2	46	0	1	1	1	0	4	0	0	0	0	1	0
ENSG00000007237.18	384	409	1935	56	2362	213	1290	182	1711	387	4826	2048	4186	1557	1738	889
ENSG00000007255.10	1265	535	685	423	245	583	986	509	346	301	211	317	146	310	341	756
ENSG00000007264.14	242	19	306	24	90	264	259	883	139	46	19	24	28	119	135	67
ENSG00000007306.14	2	127	0	0	7	1	0	0	2	0	0	0	0	0	0	0
ENSG00000007312.12	83	5	244	33	73	155	249	70	127	21	114	11	88	3	60	19
ENSG00000007314.11	1	6	15	5	14	8	12	40	5	7	23	11	32	2	4	0
ENSG00000007341.18	349	490	528	275	550	789	498	438	452	499	547	628	535	506	367	333
ENSG00000007350.16	1	0	28	0	941	5080	32	19	9	1	4	0	15	0	2	0
ENSG00000007372.20	1	92	1	15	0	1	4	63	3	1	1	1	0	2	1	0
ENSG00000007376.7	374	429	506	1214	218	1046	521	525	256	227	179	338	144	406	259	582
ENSG00000007384.15	240	1484	1474	347	875	272	1013	336	1396	777	1326	1293	892	1289	723	1004
ENSG00000007392.16	1666	3750	4103	2258	2670	2297	3479	2773	2804	2143	3908	3172	2246	3396	2588	2946
ENSG00000007402.11	25	81	117	37	89	53	91	478	191	710	130	88	187	188	78	75
ENSG00000007516.13	2266	435	757	333	2021	357	2816	349	314	353	50	1753	42	1089	5446	12
ENSG00000007520.3	1842	534	1186	1943	395	994	1719	1527	715	471	674	546	445	564	531	1535
ENSG00000007541.16	1536	1874	1314	1288	674	805	1724	1178	862	599	744	1007	448	734	1379	1385
ENSG00000007545.15	228	992	982	962	830	751	698	290	836	694	752	888	699	909	693	581
ENSG00000007866.18	545	1287	2330	1026	1665	969	2288	701	2942	1288	4101	1692	2840	1261	1869	1363
ENSG00000007908.15	15	13	62	3	252	2	98	13	2086	9	275	15	355	5	206	13
ENSG00000007923.15	676	1716	1420	989	1431	2961	1360	1244	1204	2021	1138	1546	996	1338	1298	1234
ENSG00000007933.12	74	6	624	8	605	14	284	2	417	4	94	25	95	2	453	1
ENSG00000007944.14	362	661	1385	1073	1613	762	1451	1100	1521	1943	2186	816	2424	924	1525	363
ENSG00000007952.17	0	1	0	2	16	0	1	0	1	0	0	2	0	1	1	8
ENSG00000007968.6	5	44	25	211	98	535	68	906	22	49	13	62	3	35	18	21
ENSG00000008018.8	3955	3317	4202	6298	2087	2791	5459	7369	3326	1887	3137	2804	2425	2274	2443	4684
ENSG00000008056.12	54	184	101	38	40	129	126	884	33	35	9	143	28	108	38	328
ENSG00000008083.13	173	382	507	272	568	535	302	635	531	475	512	462	420	385	373	162
ENSG00000008086.11	48	781	232	135	399	214	154	211	251	370	526	274	366	232	264	136
ENSG00000008118.9	3	258	7	6	14	50	12	55	17	337	41	240	13	21	5	12
ENSG00000008128.22	17	187	176	143	104	159	119	49	208	114	150	131	181	128	176	144
ENSG00000008130.15	934	2935	2643	5540	1871	3525	2611	2492	2276	1440	1983	1572	2040	1642	1620	1824
ENSG00000008196.12	0	1	1	0	1	0	0	0	0	0	2	0	1	0	1	1
ENSG00000008197.4	0	0	0	0	7	0	0	0	0	0	1	0	0	0	0	0
ENSG00000008226.19	1271	189	1434	34	4426	318	2587	19	331	424	75	2625	63	634	9146	94
ENSG00000008256.15	260	1214	1142	379	1637	996	1000	580	1183	460	2324	948	1976	769	874	506
ENSG00000008277.14	77	201	105	17	509	61	173	226	382	197	508	207	1755	127	158	44
ENSG00000008282.8	1196	1939	3818	3554	4050	3115	2900	873	3731	2787	5287	3427	3563	5015	3478	2466
ENSG00000008283.15	2114	1280	2081	1519	2664	3374	2753	1376	1160	4048	707	3009	473	3314	3465	1213
ENSG00000008294.20	580	3814	1894	1553	2406	1054	1277	1095	2194	3409	4364	1624	3035	1657	1728	1150
ENSG00000008300.15	16	116	70	117	140	451	118	1144	110	218	25	115	37	138	54	65
ENSG00000008311.14	45	857	293	57	553	16	95	35	489	447	1197	506	658	512	477	104
ENSG00000008323.15	41	185	50	82	92	145	66	220	68	181	7	131	14	218	65	273
ENSG00000008324.10	288	207	399	872	220	908	474	702	244	266	180	212	176	270	212	448
ENSG00000008382.15	815	258	548	529	253	432	931	2382	409	211	278	400	220	393	354	808
ENSG00000008394.12	393	654	1269	1164	1206	2346	807	28	325	138	321	585	934	672	786	1320
ENSG00000008405.11	211	358	570	526	1133	1046	508	473	832	320	724	782	1310	721	1172	427
ENSG00000008438.4	0	0	1	0	2	0	12	2	27	0	0	0	5	0	1	1
ENSG00000008441.16	1152	576	3056	895	4425	3525	2067	635	4167	1032	7340	3303	3811	2337	3346	2365
ENSG00000008513.14	270	753	1829	901	1672	568	1222	338	1525	1293	2121	5924	2683	3330	3242	8554
ENSG00000008516.16	16	28	88	10	73	26	251	30	539	18	48	19	102	8	59	18
ENSG00000008517.16	218	1150	535	204	202	522	731	929	280	344	281	448	340	158	210	234
ENSG00000008710.18	1776	3079	4207	1010	3024	940	3489	2333	5133	1593	6022	2069	4135	1589	3498	1479
ENSG00000008735.13	210	387	111	12	67	99	229	1680	73	203	47	80	10	85	68	385
ENSG00000008838.18	835	2101	2092	934	1963	1570	1758	1601	1676	1317	1772	1981	1093	1450	1858	1395
ENSG00000008853.16	202	1640	966	288	543	324	633	525	963	719	524	1289	985	1384	707	2664
ENSG00000008869.11	136	1238	721	530	1196	493	397	275	673	1053	1102	1110	792	1299	932	345
ENSG00000008952.16	2694	3257	3689	2436	3901	1696	3349	2920	3570	3751	4416	3157	4186	2670	3060	2227
ENSG00000008988.9	28447	14860	23529	35398	11258	32330	31956	26151	15894	26247	13960	14225	8993	24042	10752	21626
ENSG00000009307.15	4750	10312	12379	12817	13994	10056	9779	5339	13262	12614	22388	12417	18872	14336	10663	8251
ENSG00000009335.17	275	2008	1753	2204	2285	2100	1115	861	1786	2125	2547	2270	2308	2902	1917	1188
ENSG00000009413.15	216	1082	1335	473	1690	480	813	298	1170	502	1994	1709	1347	1125	1528	425
ENSG00000009694.13	277	216	131	2	393	118	222	0	108	48	296	38	38	89	307	7
ENSG00000009709.11	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0
ENSG00000009724.16	0	0	1	1	2	3	5	9	1	0	0	1	0	1	0	0
ENSG00000009765.14	10	48	2	2	6	6	3	14	2	4	3	2	2	7	2	2
ENSG00000009780.15	178	322	516	544	631	587	459	250	611	310	558	363	701	353	440	293
ENSG00000009790.14	78	64	334	58	188	159	305	44	210	50	65	71	155	67	211	100
ENSG00000009830.11	439	1192	898	548	904	1754	748	1002	699	378	631	1094	554	949	814	853
ENSG00000009844.15	256	1245	895	1173	928	737	612	517	803	724	884	1219	827	1195	1054	732
ENSG00000009950.15	529	703	2067	724	302	547	1476	552	781	230	42	711	96	1851	1327	1254
